sample_date,e_coli_cfu_per_100ml,lookback_days,site_id,site_name,receiving_watercourse,outfall_lat,outfall_lon,distance_miles,spill_hours,event_count
2025-06-17,140.0,5,WXW01037,BRISTOL ST GEORGES PARK NORTH 329 CHURCH ROAD,RIVER AVON VIA SWS,51.46031022,-2.548653394,1.223,0.2,1
2025-06-17,140.0,5,WXW00650,BRISTOL CONHAM VALE,RIVER AVON (VIA SWS),51.44669753,-2.534834303,0.127,0.233,1
2025-06-17,140.0,5,WXW01246,BRISTOL WHITBY ROAD ST ANNES,RIVER AVON VIA SWS,51.45022801,-2.554893333,0.941,0.267,1
2025-06-17,140.0,5,WXW01122,KEYNSHAM THE HAMS,RIVER AVON,51.42061773,-2.501020699,2.219,0.124,6
2025-06-17,140.0,5,WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),51.3787231,-2.49925566,4.82,1.483,10
2025-06-17,140.0,5,WXW00088,BRISTOL ASHTON AVENUE,RIVER AVON,51.44498396,-2.62156736,3.736,0.4,5
2025-06-17,140.0,5,WXW00028,SALISBURY ENDLESS LANE/SCOTS LANE,RIVER AVON VIA SWS,51.07124124,-1.794738109,41.115,0.633,4
2025-06-17,140.0,5,WXW01211,BATH WELLSWAY NR 372,RIVER AVON,51.36051886,-2.372363948,9.11,0.267,4
2025-06-17,140.0,5,WXW00150,BATH BLOOMFIELD ROAD NO 33 JUNCTION WITH HENSLEY ROAD,RIVER AVON VIA SWS,51.37002139,-2.36726937,8.881,0.367,3
2025-06-17,140.0,5,WXW00826,BATH DURLEY PARK / OLDFIELD LANE JUNCTION,RIVER AVON VIA SWS,51.37309972,-2.374807761,8.493,0.133,3
2025-06-17,140.0,5,WXW00831,BATHFORD OSTLING LANE,RIVER AVON,51.40096297,-2.307744331,10.242,0.733,2
2025-06-17,140.0,5,WXW00686,BRADFORD-ON-AVON MARKET ST JUNCTION WITH CHURCH ST,RIVER AVON (VIA SWS),51.34791074,-2.251289209,13.938,0.6,2
2025-06-17,140.0,5,WXW01151,BATH WESTON VILLAGE SEWER,RIVER AVON VIA SWS,51.39722012,-2.390054651,7.052,0.633,2
2025-06-17,140.0,5,WXW01170,BATH UPPER BRISTOL ROAD ADJ MARLBOROUGH LANE,RIVER AVON,51.38413278,-2.371980745,8.176,0.333,3
2025-06-17,140.0,5,WXW00924,BATH RECREATION GROUND BY NORTH STAND,RIVER AVON,51.38273558,-2.355717322,8.831,0.767,3
2025-06-17,140.0,5,WXW00093,BATH AVON STREET O/S BATH TECHNICAL COLLEGE,RIVER AVON VIA SWS,51.38020426,-2.363083302,8.644,0.967,3
2025-06-17,140.0,5,WXW01260,WILLSBRIDGE ,RIVER AVON,51.42875006,-2.487344,2.328,1.6,1
2025-06-17,140.0,5,WXW00888,BATH PRIOR PARK ROAD,RIVER AVON VIA SWS,51.37356999,-2.35070411,9.339,0.233,1
2025-06-17,140.0,5,WXW00259,BATH WALCOT RIVER BANK END OF CHATHAM ROW,RIVER AVON,51.38729616,-2.35810954,8.59,0.867,3
2025-06-17,140.0,5,WXW01111,TETBURY INLET,RIVER AVON,51.63270184,-2.153670969,20.898,1.05,1
2025-06-17,140.0,5,WXW00707,MELKSHAM INLET,RIVER AVON,51.37544939,-2.14770772,17.359,0.467,1
2025-06-17,140.0,5,WXW00633,BATH LOCKSBROOK ROAD R/O NO 10,RIVER AVON VIA SWS,51.38352788,-2.383888508,7.762,0.033,1
2025-06-17,140.0,5,WXW00945,BATH RUSH HILL OPP CULVERHAY SCHOOL,RIVER AVON,51.36416298,-2.390951611,8.339,0.033,1
2025-06-17,140.0,6,WXW00952,SALTFORD O/S 46 HIGH STREET,RIVER AVON (VIA SWS),51.40500879,-2.452141868,4.502,0.7,4
2025-06-17,140.0,6,WXW00185,KEYNSHAM ST LADOC / BRISTOL ROAD,CHARLTON BOTTOM VIA SWS,51.41808508,-2.504501927,2.264,0.233,1
2025-06-17,140.0,6,WXW00879,BRISTOL PORTWAY NEAR RAILWAY,RIVER AVON VIA SWS,51.48509806,-2.682730466,6.948,0.867,2
2025-06-17,140.0,6,WXW01228,BRISTOL PORTWAY UNDER AVON BRIDGE,RIVER AVON,51.49177306,-2.689888173,7.42,1.033,2
2025-06-17,140.0,6,WXW00950,BRISTOL SALISBURY AVE O/S NO 30,RIVER AVON VIA SWS,51.46077221,-2.52028789,1.265,0.2,1
2025-06-17,140.0,6,WXW00651,BRISTOL HANHAM LOWER HANHAM ROAD,RIVER AVON (VIA SWS),51.45025025,-2.516570556,0.869,0.2,1
2025-06-17,140.0,6,WXW00864,BRISTOL HANHAM POLLY BARNES HILL,RIVER AVON (VIA SWS),51.449659,-2.52216188,0.638,1.283,2
2025-06-17,140.0,6,WXW00589,KEYNSHAM HIGH LEVEL PS AVON MILL LANE,RIVER CHEW,51.41509871,-2.494201826,2.7,2.233,1
2025-06-17,140.0,6,WXW01037,BRISTOL ST GEORGES PARK NORTH 329 CHURCH ROAD,RIVER AVON VIA SWS,51.46031022,-2.548653394,1.223,0.2,1
2025-06-17,140.0,6,WXW00650,BRISTOL CONHAM VALE,RIVER AVON (VIA SWS),51.44669753,-2.534834303,0.127,0.233,1
2025-06-17,140.0,6,WXW01246,BRISTOL WHITBY ROAD ST ANNES,RIVER AVON VIA SWS,51.45022801,-2.554893333,0.941,0.267,1
2025-06-17,140.0,6,WXW01122,KEYNSHAM THE HAMS,RIVER AVON,51.42061773,-2.501020699,2.219,0.124,6
2025-06-17,140.0,6,WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),51.3787231,-2.49925566,4.82,1.483,10
2025-06-17,140.0,6,WXW00088,BRISTOL ASHTON AVENUE,RIVER AVON,51.44498396,-2.62156736,3.736,0.4,5
2025-06-17,140.0,6,WXW00028,SALISBURY ENDLESS LANE/SCOTS LANE,RIVER AVON VIA SWS,51.07124124,-1.794738109,41.115,0.633,4
2025-06-17,140.0,6,WXW01211,BATH WELLSWAY NR 372,RIVER AVON,51.36051886,-2.372363948,9.11,0.267,4
2025-06-17,140.0,6,WXW00150,BATH BLOOMFIELD ROAD NO 33 JUNCTION WITH HENSLEY ROAD,RIVER AVON VIA SWS,51.37002139,-2.36726937,8.881,0.367,3
2025-06-17,140.0,6,WXW00826,BATH DURLEY PARK / OLDFIELD LANE JUNCTION,RIVER AVON VIA SWS,51.37309972,-2.374807761,8.493,0.133,3
2025-06-17,140.0,6,WXW00831,BATHFORD OSTLING LANE,RIVER AVON,51.40096297,-2.307744331,10.242,0.733,2
2025-06-17,140.0,6,WXW00686,BRADFORD-ON-AVON MARKET ST JUNCTION WITH CHURCH ST,RIVER AVON (VIA SWS),51.34791074,-2.251289209,13.938,0.6,2
2025-06-17,140.0,6,WXW01151,BATH WESTON VILLAGE SEWER,RIVER AVON VIA SWS,51.39722012,-2.390054651,7.052,0.633,2
2025-06-17,140.0,6,WXW01170,BATH UPPER BRISTOL ROAD ADJ MARLBOROUGH LANE,RIVER AVON,51.38413278,-2.371980745,8.176,0.333,3
2025-06-17,140.0,6,WXW00924,BATH RECREATION GROUND BY NORTH STAND,RIVER AVON,51.38273558,-2.355717322,8.831,0.767,3
2025-06-17,140.0,6,WXW00093,BATH AVON STREET O/S BATH TECHNICAL COLLEGE,RIVER AVON VIA SWS,51.38020426,-2.363083302,8.644,0.967,3
2025-06-17,140.0,6,WXW01260,WILLSBRIDGE ,RIVER AVON,51.42875006,-2.487344,2.328,1.6,1
2025-06-17,140.0,6,WXW00888,BATH PRIOR PARK ROAD,RIVER AVON VIA SWS,51.37356999,-2.35070411,9.339,0.233,1
2025-06-17,140.0,6,WXW00259,BATH WALCOT RIVER BANK END OF CHATHAM ROW,RIVER AVON,51.38729616,-2.35810954,8.59,0.867,3
2025-06-17,140.0,6,WXW01111,TETBURY INLET,RIVER AVON,51.63270184,-2.153670969,20.898,1.05,1
2025-06-17,140.0,6,WXW00707,MELKSHAM INLET,RIVER AVON,51.37544939,-2.14770772,17.359,0.467,1
2025-06-17,140.0,6,WXW00633,BATH LOCKSBROOK ROAD R/O NO 10,RIVER AVON VIA SWS,51.38352788,-2.383888508,7.762,0.033,1
2025-06-17,140.0,6,WXW00945,BATH RUSH HILL OPP CULVERHAY SCHOOL,RIVER AVON,51.36416298,-2.390951611,8.339,0.033,1
2025-06-17,140.0,7,WXW00952,SALTFORD O/S 46 HIGH STREET,RIVER AVON (VIA SWS),51.40500879,-2.452141868,4.502,0.7,4
2025-06-17,140.0,7,WXW00185,KEYNSHAM ST LADOC / BRISTOL ROAD,CHARLTON BOTTOM VIA SWS,51.41808508,-2.504501927,2.264,0.233,1
2025-06-17,140.0,7,WXW00879,BRISTOL PORTWAY NEAR RAILWAY,RIVER AVON VIA SWS,51.48509806,-2.682730466,6.948,0.867,2
2025-06-17,140.0,7,WXW01228,BRISTOL PORTWAY UNDER AVON BRIDGE,RIVER AVON,51.49177306,-2.689888173,7.42,1.033,2
2025-06-17,140.0,7,WXW00950,BRISTOL SALISBURY AVE O/S NO 30,RIVER AVON VIA SWS,51.46077221,-2.52028789,1.265,0.2,1
2025-06-17,140.0,7,WXW00651,BRISTOL HANHAM LOWER HANHAM ROAD,RIVER AVON (VIA SWS),51.45025025,-2.516570556,0.869,0.2,1
2025-06-17,140.0,7,WXW00864,BRISTOL HANHAM POLLY BARNES HILL,RIVER AVON (VIA SWS),51.449659,-2.52216188,0.638,1.283,2
2025-06-17,140.0,7,WXW00589,KEYNSHAM HIGH LEVEL PS AVON MILL LANE,RIVER CHEW,51.41509871,-2.494201826,2.7,2.233,1
2025-06-17,140.0,7,WXW01037,BRISTOL ST GEORGES PARK NORTH 329 CHURCH ROAD,RIVER AVON VIA SWS,51.46031022,-2.548653394,1.223,0.2,1
2025-06-17,140.0,7,WXW00650,BRISTOL CONHAM VALE,RIVER AVON (VIA SWS),51.44669753,-2.534834303,0.127,0.233,1
2025-06-17,140.0,7,WXW01246,BRISTOL WHITBY ROAD ST ANNES,RIVER AVON VIA SWS,51.45022801,-2.554893333,0.941,0.267,1
2025-06-17,140.0,7,WXW01122,KEYNSHAM THE HAMS,RIVER AVON,51.42061773,-2.501020699,2.219,0.124,6
2025-06-17,140.0,7,WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),51.3787231,-2.49925566,4.82,1.483,10
2025-06-17,140.0,7,WXW00088,BRISTOL ASHTON AVENUE,RIVER AVON,51.44498396,-2.62156736,3.736,0.4,5
2025-06-17,140.0,7,WXW00028,SALISBURY ENDLESS LANE/SCOTS LANE,RIVER AVON VIA SWS,51.07124124,-1.794738109,41.115,0.633,4
2025-06-17,140.0,7,WXW01211,BATH WELLSWAY NR 372,RIVER AVON,51.36051886,-2.372363948,9.11,0.267,4
2025-06-17,140.0,7,WXW00150,BATH BLOOMFIELD ROAD NO 33 JUNCTION WITH HENSLEY ROAD,RIVER AVON VIA SWS,51.37002139,-2.36726937,8.881,0.367,3
2025-06-17,140.0,7,WXW00826,BATH DURLEY PARK / OLDFIELD LANE JUNCTION,RIVER AVON VIA SWS,51.37309972,-2.374807761,8.493,0.133,3
2025-06-17,140.0,7,WXW00831,BATHFORD OSTLING LANE,RIVER AVON,51.40096297,-2.307744331,10.242,0.733,2
2025-06-17,140.0,7,WXW00686,BRADFORD-ON-AVON MARKET ST JUNCTION WITH CHURCH ST,RIVER AVON (VIA SWS),51.34791074,-2.251289209,13.938,0.6,2
2025-06-17,140.0,7,WXW01151,BATH WESTON VILLAGE SEWER,RIVER AVON VIA SWS,51.39722012,-2.390054651,7.052,0.633,2
2025-06-17,140.0,7,WXW01170,BATH UPPER BRISTOL ROAD ADJ MARLBOROUGH LANE,RIVER AVON,51.38413278,-2.371980745,8.176,0.333,3
2025-06-17,140.0,7,WXW00924,BATH RECREATION GROUND BY NORTH STAND,RIVER AVON,51.38273558,-2.355717322,8.831,0.767,3
2025-06-17,140.0,7,WXW00093,BATH AVON STREET O/S BATH TECHNICAL COLLEGE,RIVER AVON VIA SWS,51.38020426,-2.363083302,8.644,0.967,3
2025-06-17,140.0,7,WXW01260,WILLSBRIDGE ,RIVER AVON,51.42875006,-2.487344,2.328,1.6,1
2025-06-17,140.0,7,WXW00888,BATH PRIOR PARK ROAD,RIVER AVON VIA SWS,51.37356999,-2.35070411,9.339,0.233,1
2025-06-17,140.0,7,WXW00259,BATH WALCOT RIVER BANK END OF CHATHAM ROW,RIVER AVON,51.38729616,-2.35810954,8.59,0.867,3
2025-06-17,140.0,7,WXW01111,TETBURY INLET,RIVER AVON,51.63270184,-2.153670969,20.898,1.05,1
2025-06-17,140.0,7,WXW00707,MELKSHAM INLET,RIVER AVON,51.37544939,-2.14770772,17.359,0.467,1
2025-06-17,140.0,7,WXW00633,BATH LOCKSBROOK ROAD R/O NO 10,RIVER AVON VIA SWS,51.38352788,-2.383888508,7.762,0.033,1
2025-06-17,140.0,7,WXW00945,BATH RUSH HILL OPP CULVERHAY SCHOOL,RIVER AVON,51.36416298,-2.390951611,8.339,0.033,1
2025-07-09,85.0,3,WXW00749,CHIPPENHAM MONKTON PARK OFFICES,RIVER AVON,51.46081782,-2.1152221,18.1,0.3,1
2025-07-09,85.0,4,WXW01211,BATH WELLSWAY NR 372,RIVER AVON,51.36051886,-2.372363948,9.11,0.033,1
2025-07-09,85.0,4,WXW00888,BATH PRIOR PARK ROAD,RIVER AVON VIA SWS,51.37356999,-2.35070411,9.339,0.167,1
2025-07-09,85.0,4,WXW00749,CHIPPENHAM MONKTON PARK OFFICES,RIVER AVON,51.46081782,-2.1152221,18.1,0.3,1
2025-07-09,85.0,5,WXW01211,BATH WELLSWAY NR 372,RIVER AVON,51.36051886,-2.372363948,9.11,0.033,1
2025-07-09,85.0,5,WXW00888,BATH PRIOR PARK ROAD,RIVER AVON VIA SWS,51.37356999,-2.35070411,9.339,0.167,1
2025-07-09,85.0,5,WXW00749,CHIPPENHAM MONKTON PARK OFFICES,RIVER AVON,51.46081782,-2.1152221,18.1,0.3,1
2025-07-09,85.0,6,WXW01211,BATH WELLSWAY NR 372,RIVER AVON,51.36051886,-2.372363948,9.11,0.033,1
2025-07-09,85.0,6,WXW00888,BATH PRIOR PARK ROAD,RIVER AVON VIA SWS,51.37356999,-2.35070411,9.339,0.167,1
2025-07-09,85.0,6,WXW00749,CHIPPENHAM MONKTON PARK OFFICES,RIVER AVON,51.46081782,-2.1152221,18.1,0.3,1
2025-07-09,85.0,7,WXW01211,BATH WELLSWAY NR 372,RIVER AVON,51.36051886,-2.372363948,9.11,0.033,1
2025-07-09,85.0,7,WXW00888,BATH PRIOR PARK ROAD,RIVER AVON VIA SWS,51.37356999,-2.35070411,9.339,0.167,1
2025-07-09,85.0,7,WXW00749,CHIPPENHAM MONKTON PARK OFFICES,RIVER AVON,51.46081782,-2.1152221,18.1,0.3,1
2025-07-21,95.0,1,WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),51.3787231,-2.49925566,4.82,0.483,5
2025-07-21,95.0,1,WXW00879,BRISTOL PORTWAY NEAR RAILWAY,RIVER AVON VIA SWS,51.48509806,-2.682730466,6.948,0.433,2
2025-07-21,95.0,1,WXW00952,SALTFORD O/S 46 HIGH STREET,RIVER AVON (VIA SWS),51.40500879,-2.452141868,4.502,0.3,1
2025-07-21,95.0,1,WXW01211,BATH WELLSWAY NR 372,RIVER AVON,51.36051886,-2.372363948,9.11,0.4,2
2025-07-21,95.0,1,WXW00150,BATH BLOOMFIELD ROAD NO 33 JUNCTION WITH HENSLEY ROAD,RIVER AVON VIA SWS,51.37002139,-2.36726937,8.881,0.533,2
2025-07-21,95.0,1,WXW01151,BATH WESTON VILLAGE SEWER,RIVER AVON VIA SWS,51.39722012,-2.390054651,7.052,0.367,2
2025-07-21,95.0,1,WXW00924,BATH RECREATION GROUND BY NORTH STAND,RIVER AVON,51.38273558,-2.355717322,8.831,0.7,2
2025-07-21,95.0,1,WXW01085,MONKTON COMBE SUMMER LANE,HORSECOMBE BROOK,51.35788466,-2.342757095,10.23,0.5,2
2025-07-21,95.0,1,WXW00259,BATH WALCOT RIVER BANK END OF CHATHAM ROW,RIVER AVON,51.38729616,-2.35810954,8.59,1.333,2
2025-07-21,95.0,1,WXW01228,BRISTOL PORTWAY UNDER AVON BRIDGE,RIVER AVON,51.49177306,-2.689888173,7.42,0.3,1
